岗位,公司,城市,薪资
爬虫工程师,湖南御泥坊（御家汇）化妆品有限公司,长沙-岳麓区,1-1.5万/月
Java开发工程师,武汉安域信息安全技术有限公司,武汉-武昌区,0.8-1万/月
爬虫工程师 五险一金,杭州溜达网络科技有限公司,杭州-西湖区,1.5-2万/月
C#开发工程师,广州爱推电子商务有限公司,广州-番禺区,0.8-1万/月
爬虫工程师,浙江子不语电子商务有限公司,杭州-余杭区,1.5-2万/月
爬虫工程师,广州市玄武无线科技股份有限公司,广州,1-1.3万/月
爬虫开发工程师,成都盯潮科技有限公司,成都,1.2-1.8万/月
网络爬虫开发维护,安徽山又木合信息科技有限公司,合肥-滨湖新区,1-3万/月
爬虫助理,大合手（深圳）信息科技有限公司,烟台,3-5千/月
软件开发工程师（网络爬虫方向）(J10619),中移（苏州）软件技术有限公司,苏州-高新区,2-2.5万/月
爬虫开发工程师,无锡神探电子科技有限公司,无锡-惠山区,20-30万/年
数据挖掘工程师（双休+14薪）,成都优格瑞得科技有限公司,深圳-南山区,4-8千/月
python实习生,重庆大司空信息科技有限公司,重庆-渝北区,2-3千/月
爬虫开发工程师,名创优品（广州）有限责任公司,广州,1-1.5万/月
AI程序研发工程师,上海外服（集团）有限公司,南京-雨花台区,0.9-1.5万/月
爬虫工程师,北京阿拉丁立方信息技术有限公司,北京-朝阳区,1.2-1.8万/月
python爬虫工程师 数据清洗,太平洋房屋,上海-徐汇区,1.2-1.6万/月
数据挖掘工程师,网思科技股份有限公司,异地招聘,0.8-1.5万/月
爬虫研发工程师,南极电商（上海）有限公司,上海-杨浦区,1-2万/月
中级爬虫工程师,上海大智慧财汇数据科技有限公司,合肥-蜀山区,0.8-1万/月
初级爬虫工程师,上海大智慧财汇数据科技有限公司,合肥-蜀山区,6-8千/月
爬虫 python（上海）,上海悦高软件股份有限公司,上海-黄浦区,6-8千/月
Java/python爬虫工程师,深圳中电国际信息科技有限公司,异地招聘,1-1.5万/月
Python爬虫工程师,杭州瑞成信息技术有限公司,武汉-洪山区,1.5-2.2万/月
Python爬虫工程师,北京国研网信息有限公司,成都-武侯区,1-1.5万/月
高级爬虫工程师,深圳格隆汇信息科技有限公司,深圳-南山区,1.5-2万/月
爬虫开发工程师,上海盈合信息技术有限公司,上海-静安区,1.5-2万/月
高级爬虫工程师(J13354),北京北大方正电子有限公司,北京-海淀区,1.5-2.3万/月
爬虫开发工程师,郑州软通合力计算机技术有限公司,郑州,0.7-1万/月
Python爬虫工程师,北京聚源锐思数据科技有限公司,北京-海淀区,0.8-1万/月
Python高级开发工程师,上海瀛太信息科技有限公司,上海,1-1.8万/月
网络安全开发工程师,上海瀛太信息科技有限公司,上海,1-1.6万/月
爬虫工程师,网易集团,广州-天河区,1.5-2.5万/月
高级爬虫开发工程师,佛山市德朗司科技有限公司,佛山-南海区,0.5-1万/月
爬虫开发工程师,合肥网达软件有限公司,合肥,0.8-1.5万/月
数据标注工程师,深圳市德科信息技术有限公司,上海-浦东新区,6-8千/月
爬虫工程师,易居企业（中国）集团有限公司,上海-静安区,7-9千/月
